날짜,최고기온,최저기온,월,일,연도,가격
2011-01-03,1.8,-15.4,1,3,2011,10100.0
2011-01-04,1.7,-12.3,1,4,2011,11100.0
2011-01-05,2.8,-4.8,1,5,2011,11100.0
2011-01-06,-0.8,-12.6,1,6,2011,10900.0
2011-01-07,1.2,-16.6,1,7,2011,10000.0
2011-01-10,-0.3,-18.2,1,10,2011,10000.0
2011-01-11,2.0,-14.3,1,11,2011,9600.0
2011-01-12,-1.0,-15.5,1,12,2011,9500.0
2011-01-13,1.7,-17.9,1,13,2011,9100.0
2011-01-14,2.5,-15.7,1,14,2011,9100.0
2011-01-17,-0.9,-19.7,1,17,2011,8800.0
2011-01-18,-0.2,-16.2,1,18,2011,8700.0
2011-01-19,0.4,-11.9,1,19,2011,8700.0
2011-01-20,-0.8,-14.5,1,20,2011,9100.0
2011-01-21,0.3,-15.6,1,21,2011,9400.0
2011-01-24,-2.2,-12.1,1,24,2011,10300.0
2011-01-25,-0.8,-17.1,1,25,2011,10500.0
2011-01-26,-1.0,-17.6,1,26,2011,10500.0
2011-01-27,-0.7,-16.9,1,27,2011,10200.0
2011-01-28,0.6,-12.8,1,28,2011,9800.0
2011-01-31,0.4,-17.7,1,31,2011,9600.0
2011-02-01,7.9,-15.3,2,1,2011,9400.0
2011-02-07,9.2,-5.6,2,7,2011,9300.0
2011-02-08,3.1,-2.7,2,8,2011,10100.0
2011-02-09,4.5,-5.0,2,9,2011,9800.0
2011-02-10,2.6,-7.9,2,10,2011,8100.0
2011-02-11,4.5,-11.6,2,11,2011,7700.0
2011-02-14,4.3,-13.6,2,14,2011,6600.0
2011-02-15,6.7,-10.8,2,15,2011,6900.0
2011-02-16,10.6,-11.3,2,16,2011,6900.0
2011-02-17,1.2,-7.3,2,17,2011,6400.0
2011-02-18,8.6,-7.4,2,18,2011,6400.0
2011-02-21,13.9,-6.3,2,21,2011,6800.0
2011-02-22,16.0,-7.6,2,22,2011,6400.0
2011-02-23,16.0,-5.2,2,23,2011,6400.0
2011-02-24,17.4,-5.3,2,24,2011,6400.0
2011-02-25,10.9,-4.7,2,25,2011,6400.0
2011-02-28,7.5,3.9,2,28,2011,7200.0
2011-03-02,4.5,-6.5,3,2,2011,6600.0
2011-03-03,4.3,-8.8,3,3,2011,6300.0
2011-03-04,6.7,-9.1,3,4,2011,6500.0
2011-03-07,7.7,-4.1,3,7,2011,7200.0
2011-03-08,8.8,-7.9,3,8,2011,7500.0
2011-03-09,6.0,-6.5,3,9,2011,7900.0
2011-03-10,8.0,-7.6,3,10,2011,8200.0
2011-03-11,12.3,-7.2,3,11,2011,8200.0
2011-03-14,19.4,-0.8,3,14,2011,8100.0
2011-03-15,9.3,-2.2,3,15,2011,8000.0
2011-03-16,6.0,-7.0,3,16,2011,7700.0
2011-03-17,9.7,-8.3,3,17,2011,6600.0
2011-03-18,15.7,-7.8,3,18,2011,5900.0
2011-03-21,14.1,0.8,3,21,2011,5900.0
