날짜,최고기온,최저기온,증감치,월,일,연도,가격
2014-01-03,15.1,2.2,0.0,1,3,2014,800.0
2014-01-07,11.7,-0.1,0.0,1,7,2014,800.0
2014-01-08,9.5,2.5,-10.0,1,8,2014,790.0
2014-01-09,2.6,-1.5,0.0,1,9,2014,790.0
2014-01-10,5.0,-1.0,0.0,1,10,2014,790.0
2014-01-14,5.3,-1.8,0.0,1,14,2014,790.0
2014-01-15,5.6,0.9,0.0,1,15,2014,790.0
2014-01-16,6.4,0.6,0.0,1,16,2014,790.0
2014-01-17,8.4,1.2,20.0,1,17,2014,810.0
2014-01-21,3.0,-0.7,0.0,1,21,2014,810.0
2014-01-22,5.7,-0.3,20.0,1,22,2014,830.0
2014-01-23,8.3,-0.1,20.0,1,23,2014,850.0
2014-01-24,15.8,0.5,0.0,1,24,2014,850.0
2014-01-28,11.6,2.2,0.0,1,28,2014,810.0
2014-01-29,14.6,-1.8,0.0,1,29,2014,810.0
2014-02-04,1.2,-1.8,0.0,2,4,2014,810.0
2014-02-05,4.5,-2.0,0.0,2,5,2014,810.0
2014-02-06,6.8,1.5,-40.0,2,6,2014,770.0
2014-02-07,9.6,6.1,0.0,2,7,2014,770.0
2014-02-11,7.9,2.6,0.0,2,11,2014,770.0
2014-02-12,8.1,3.1,0.0,2,12,2014,770.0
2014-02-13,8.4,3.2,0.0,2,13,2014,770.0
2014-02-14,7.6,3.5,0.0,2,14,2014,770.0
2014-02-18,8.2,4.6,-30.0,2,18,2014,740.0
2014-02-19,9.1,3.9,0.0,2,19,2014,740.0
2014-02-20,8.0,3.7,0.0,2,20,2014,740.0
2014-02-21,7.0,-0.7,-40.0,2,21,2014,700.0
2014-02-25,14.4,3.7,0.0,2,25,2014,660.0
2014-02-26,10.1,7.1,0.0,2,26,2014,660.0
2014-02-27,13.5,4.9,0.0,2,27,2014,660.0
2014-02-28,10.0,4.1,0.0,2,28,2014,660.0
2014-03-04,11.0,2.4,0.0,3,4,2014,660.0
2014-03-05,7.9,2.4,0.0,3,5,2014,660.0
2014-03-06,7.9,1.5,0.0,3,6,2014,660.0
2014-03-07,6.7,1.7,0.0,3,7,2014,660.0
2014-03-11,13.3,-1.7,0.0,3,11,2014,660.0
2014-03-12,17.0,9.6,0.0,3,12,2014,660.0
2014-03-13,11.6,4.8,0.0,3,13,2014,660.0
