날짜,최고기온,최저기온,증감치,월,일,연도,가격
2012-01-03,-0.2,-13.3,-20.0,1,3,2012,780.0
2012-01-04,-3.3,-14.4,120.0,1,4,2012,900.0
2012-01-05,-1.3,-18.1,80.0,1,5,2012,980.0
2012-01-06,1.6,-15.3,0.0,1,6,2012,980.0
2012-01-10,2.0,-13.2,0.0,1,10,2012,920.0
2012-01-11,-1.3,-15.3,0.0,1,11,2012,920.0
2012-01-12,0.0,-18.5,0.0,1,12,2012,920.0
2012-01-13,2.9,-10.3,0.0,1,13,2012,920.0
2012-01-17,8.0,-6.9,-100.0,1,17,2012,820.0
2012-01-18,5.6,-8.9,-20.0,1,18,2012,800.0
2012-01-19,8.8,-7.1,40.0,1,19,2012,840.0
2012-01-20,7.8,-3.0,20.0,1,20,2012,860.0
2012-01-26,0.2,-16.5,120.0,1,26,2012,980.0
2012-01-27,0.4,-13.6,160.0,1,27,2012,1140.0
2012-01-31,-1.3,-17.3,100.0,1,31,2012,1300.0
2012-02-01,-5.4,-20.2,0.0,2,1,2012,1300.0
2012-02-02,-8.4,-24.8,0.0,2,2,2012,1300.0
2012-02-03,-5.0,-25.1,-30.0,2,3,2012,1270.0
2012-02-07,0.8,-12.6,10.0,2,7,2012,1280.0
2012-02-08,-3.6,-18.8,180.0,2,8,2012,1460.0
2012-02-09,-0.2,-15.9,0.0,2,9,2012,1460.0
2012-02-10,2.1,-14.9,40.0,2,10,2012,1500.0
2012-02-14,9.6,-6.9,-20.0,2,14,2012,1520.0
2012-02-15,5.8,-8.1,0.0,2,15,2012,1520.0
2012-02-16,3.1,-13.0,40.0,2,16,2012,1560.0
2012-02-17,-1.9,-14.8,-100.0,2,17,2012,1460.0
2012-02-21,5.4,-10.3,-60.0,2,21,2012,1400.0
2012-02-22,12.6,-11.1,0.0,2,22,2012,1400.0
2012-02-23,10.7,-4.5,-20.0,2,23,2012,1380.0
2012-02-24,9.4,-7.7,0.0,2,24,2012,1380.0
2012-02-28,7.0,-12.3,-40.0,2,28,2012,1300.0
2012-03-06,3.8,0.0,40.0,3,6,2012,1520.0
2012-03-07,8.9,-3.2,0.0,3,7,2012,1520.0
2012-03-08,7.8,-5.4,-20.0,3,8,2012,1500.0
2012-03-09,7.9,-6.2,20.0,3,9,2012,1520.0
2012-03-13,7.1,-9.7,0.0,3,13,2012,1520.0
2012-03-14,4.8,-5.4,-20.0,3,14,2012,1500.0
2012-03-15,11.5,-3.6,0.0,3,15,2012,1500.0
2012-03-16,12.6,-2.2,-40.0,3,16,2012,1460.0
2012-03-20,9.4,-7.8,20.0,3,20,2012,1500.0
2012-03-21,12.1,-6.9,0.0,3,21,2012,1500.0
2012-03-22,12.4,-1.1,-60.0,3,22,2012,1440.0
2012-03-23,5.7,0.1,-80.0,3,23,2012,1360.0
2012-03-27,13.5,-6.0,-100.0,3,27,2012,1260.0
2012-03-28,17.7,-0.3,140.0,3,28,2012,1400.0
2012-03-29,17.7,-3.8,-40.0,3,29,2012,1360.0
2012-03-30,15.2,6.3,-40.0,3,30,2012,1320.0
2012-04-03,7.6,-1.1,0.0,4,3,2012,1200.0
2012-04-04,15.3,-3.3,-40.0,4,4,2012,1160.0
2012-04-05,11.2,-1.9,20.0,4,5,2012,1180.0
2012-04-06,9.8,-3.7,20.0,4,6,2012,1200.0
2012-04-10,17.8,3.0,0.0,4,10,2012,1180.0
2012-04-13,17.8,2.3,20.0,4,13,2012,1220.0
2012-04-17,21.6,1.5,-20.0,4,17,2012,1200.0
2012-04-18,22.8,1.5,0.0,4,18,2012,1200.0
2012-04-19,25.0,4.0,0.0,4,19,2012,1200.0
2012-04-20,24.0,9.8,0.0,4,20,2012,1200.0
2012-04-24,27.5,10.0,0.0,4,24,2012,1200.0
2012-04-25,17.3,11.4,40.0,4,25,2012,1240.0
2012-04-26,17.6,5.0,0.0,4,26,2012,1240.0
2012-04-27,23.6,1.0,0.0,4,27,2012,1240.0
2012-05-03,21.8,10.4,0.0,5,3,2012,1220.0
2012-05-04,28.4,8.6,0.0,5,4,2012,1220.0
2012-05-08,28.0,8.0,100.0,5,8,2012,1360.0
2012-05-09,28.1,8.0,160.0,5,9,2012,1520.0
2012-05-10,23.5,8.5,20.0,5,10,2012,1540.0
2012-05-11,16.4,8.5,40.0,5,11,2012,1580.0
2012-05-15,24.0,10.2,20.0,5,15,2012,1560.0
2012-05-16,22.2,7.6,-20.0,5,16,2012,1540.0
2012-05-17,19.6,8.9,-40.0,5,17,2012,1500.0
2012-05-18,24.8,7.2,-20.0,5,18,2012,1480.0
2012-05-22,28.5,9.5,0.0,5,22,2012,1480.0
2012-05-23,27.8,11.8,60.0,5,23,2012,1540.0
2012-05-24,23.6,10.5,0.0,5,24,2012,1540.0
2012-05-25,27.3,12.0,0.0,5,25,2012,1540.0
2012-05-30,19.8,13.7,0.0,5,30,2012,1580.0
2012-05-31,25.3,12.2,80.0,5,31,2012,1660.0
2012-06-01,25.9,13.0,80.0,6,1,2012,1740.0
2012-06-05,28.3,16.9,0.0,6,5,2012,1900.0
2012-06-08,29.2,15.4,0.0,6,8,2012,1840.0
2012-06-12,26.8,15.3,0.0,6,12,2012,1880.0
2012-06-13,27.6,13.5,-40.0,6,13,2012,1840.0
2012-06-14,30.0,14.2,0.0,6,14,2012,1840.0
2012-06-15,25.5,15.6,0.0,6,15,2012,1840.0
2012-06-19,29.2,16.6,0.0,6,19,2012,1840.0
2012-06-20,31.0,14.3,0.0,6,20,2012,1840.0
2012-06-21,33.2,16.4,0.0,6,21,2012,1840.0
2012-06-22,29.4,18.9,0.0,6,22,2012,1840.0
2012-06-26,25.0,15.0,140.0,6,26,2012,2120.0
2012-06-27,28.3,12.9,0.0,6,27,2012,2120.0
2012-06-28,29.4,14.9,40.0,6,28,2012,2160.0
2012-06-29,32.0,17.5,0.0,6,29,2012,2160.0
2012-07-03,30.1,18.5,-80.0,7,3,2012,2080.0
2012-07-04,30.4,20.4,-140.0,7,4,2012,1940.0
2012-07-05,26.0,20.5,-60.0,7,5,2012,1880.0
2012-07-06,21.3,17.9,0.0,7,6,2012,1880.0
2012-07-10,30.1,19.3,-140.0,7,10,2012,1740.0
2012-07-11,28.1,20.4,-80.0,7,11,2012,1660.0
2012-07-12,27.5,21.0,0.0,7,12,2012,1660.0
2012-07-13,31.1,21.7,0.0,7,13,2012,1660.0
2012-07-17,31.0,19.1,-100.0,7,17,2012,1680.0
2012-07-18,31.3,20.6,0.0,7,18,2012,1680.0
2012-07-19,27.9,22.0,-40.0,7,19,2012,1640.0
2012-07-20,30.0,21.3,0.0,7,20,2012,1640.0
2012-07-24,33.1,22.2,20.0,7,24,2012,1660.0
2012-07-25,33.0,22.1,0.0,7,25,2012,1660.0
2012-07-26,33.5,21.0,-160.0,7,26,2012,1500.0
2012-07-27,33.3,20.8,-100.0,7,27,2012,1400.0
2012-07-31,32.6,22.7,0.0,7,31,2012,1500.0
2012-08-01,35.7,22.9,0.0,8,1,2012,1500.0
2012-08-02,33.9,20.5,0.0,8,2,2012,1500.0
2012-08-03,35.6,21.1,0.0,8,3,2012,1500.0
2012-08-07,33.1,20.7,60.0,8,7,2012,1700.0
2012-08-08,34.0,17.3,220.0,8,8,2012,1920.0
2012-08-09,33.5,20.2,0.0,8,9,2012,1920.0
2012-08-10,28.6,20.9,0.0,8,10,2012,1920.0
2012-08-14,32.6,17.3,0.0,8,14,2012,2120.0
2012-08-17,32.5,20.5,160.0,8,17,2012,2340.0
2012-08-21,30.7,22.8,-40.0,8,21,2012,2300.0
2012-08-22,24.4,20.5,-60.0,8,22,2012,2240.0
2012-08-23,25.1,17.2,0.0,8,23,2012,2240.0
2012-08-24,25.0,16.6,-40.0,8,24,2012,2200.0
2012-08-28,29.8,22.1,180.0,8,28,2012,2460.0
2012-08-29,31.0,21.6,420.0,8,29,2012,2880.0
2012-08-30,21.7,16.9,60.0,8,30,2012,2940.0
2012-08-31,29.3,16.8,-60.0,8,31,2012,2880.0
2012-09-04,25.6,19.4,40.0,9,4,2012,2880.0
2012-09-05,27.4,13.9,-80.0,9,5,2012,2800.0
2012-09-06,26.5,12.1,-40.0,9,6,2012,2760.0
2012-09-07,27.0,13.6,0.0,9,7,2012,2760.0
2012-09-11,30.4,16.3,40.0,9,11,2012,2800.0
2012-09-12,27.2,14.4,0.0,9,12,2012,2800.0
2012-09-13,21.0,18.4,80.0,9,13,2012,2880.0
2012-09-14,24.9,16.7,0.0,9,14,2012,2880.0
2012-09-18,28.9,16.6,40.0,9,18,2012,2920.0
2012-09-19,25.8,14.3,0.0,9,19,2012,2920.0
2012-09-20,30.5,14.0,0.0,9,20,2012,2920.0
2012-09-21,26.7,12.9,-40.0,9,21,2012,2880.0
2012-09-25,32.2,10.6,-200.0,9,25,2012,2680.0
2012-09-26,27.0,13.3,0.0,9,26,2012,2680.0
2012-09-27,24.0,12.7,40.0,9,27,2012,2720.0
2012-09-28,25.4,11.9,100.0,9,28,2012,2820.0
2012-10-05,25.4,10.9,80.0,10,5,2012,2900.0
2012-10-09,23.0,9.2,-120.0,10,9,2012,2580.0
2012-10-10,20.5,10.4,-420.0,10,10,2012,2160.0
2012-10-11,23.2,6.9,-140.0,10,11,2012,2020.0
2012-10-12,24.5,6.0,0.0,10,12,2012,2020.0
2012-10-16,27.3,2.0,-160.0,10,16,2012,2100.0
2012-10-17,18.7,4.2,40.0,10,17,2012,2140.0
2012-10-18,21.0,-0.3,0.0,10,18,2012,2140.0
2012-10-19,23.0,2.0,0.0,10,19,2012,2140.0
2012-10-23,17.3,2.4,40.0,10,23,2012,2180.0
2012-10-24,18.7,6.4,0.0,10,24,2012,2180.0
2012-10-25,19.9,6.9,-40.0,10,25,2012,2140.0
2012-10-26,23.3,7.8,0.0,10,26,2012,2140.0
2012-10-30,16.9,3.2,-40.0,10,30,2012,2100.0
2012-10-31,14.2,1.8,0.0,10,31,2012,2100.0
2012-11-01,13.0,-2.2,-80.0,11,1,2012,2020.0
2012-11-02,15.8,-4.8,0.0,11,2,2012,2020.0
2012-11-06,8.9,5.8,-40.0,11,6,2012,1920.0
2012-11-07,14.8,5.5,120.0,11,7,2012,2040.0
2012-11-08,0.0,0.0,20.0,11,8,2012,2060.0
2012-11-09,0.0,0.0,0.0,11,9,2012,2060.0
2012-11-13,0.0,0.0,0.0,11,13,2012,2060.0
2012-11-14,0.0,0.0,0.0,11,14,2012,2060.0
2012-11-15,0.0,0.0,-60.0,11,15,2012,2000.0
2012-11-16,0.0,0.0,60.0,11,16,2012,2060.0
2012-11-20,0.0,0.0,20.0,11,20,2012,1980.0
2012-11-21,7.9,-2.5,-120.0,11,21,2012,1860.0
2012-11-22,10.0,-4.7,0.0,11,22,2012,1860.0
2012-11-23,8.3,-0.9,0.0,11,23,2012,1860.0
2012-11-27,4.9,-8.9,0.0,11,27,2012,1860.0
2012-11-28,8.1,-4.6,-20.0,11,28,2012,1840.0
2012-11-29,4.9,-6.6,-60.0,11,29,2012,1780.0
2012-11-30,6.4,-7.7,-90.0,11,30,2012,1690.0
2012-12-04,0.0,-9.1,0.0,12,4,2012,1690.0
2012-12-05,-2.1,-11.7,0.0,12,5,2012,1690.0
2012-12-06,-4.1,-17.1,182.0,12,6,2012,1872.0
2012-12-07,-4.4,-17.4,188.0,12,7,2012,2060.0
2012-12-11,-1.3,-20.6,0.0,12,11,2012,2060.0
2012-12-12,-1.6,-19.8,80.0,12,12,2012,2140.0
2012-12-13,1.8,-17.7,40.0,12,13,2012,2180.0
2012-12-14,0.2,-7.8,0.0,12,14,2012,2180.0
2012-12-18,-2.3,-12.3,0.0,12,18,2012,2060.0
2012-12-21,0.0,-8.0,0.0,12,21,2012,2060.0
2012-12-27,-0.6,-18.4,-40.0,12,27,2012,2000.0
2012-12-28,-1.0,-7.9,0.0,12,28,2012,2000.0
2013-01-03,-8.7,-26.8,-80.0,1,3,2013,2060.0
2013-01-04,-6.3,-26.4,100.0,1,4,2013,2160.0
2013-01-08,0.3,-17.6,40.0,1,8,2013,2220.0
2013-01-09,-5.1,-20.5,40.0,1,9,2013,2260.0
2013-01-10,-2.6,-23.5,-20.0,1,10,2013,2240.0
2013-01-11,-1.5,-20.2,-120.0,1,11,2013,2120.0
2013-01-15,2.3,-16.0,-200.0,1,15,2013,1900.0
2013-01-16,1.4,-12.2,0.0,1,16,2013,1900.0
2013-01-17,0.1,-12.9,0.0,1,17,2013,1900.0
2013-01-18,-0.8,-16.2,-100.0,1,18,2013,1800.0
2013-01-22,4.9,-0.4,0.0,1,22,2013,1840.0
2013-01-23,2.4,-0.7,-80.0,1,23,2013,1760.0
2013-01-24,2.1,-6.7,-60.0,1,24,2013,1700.0
