날짜,최고기온,최저기온,월,일,연도,가격
2011-01-03,1.6,-16.6,1,3,2011,48000.0
2011-01-04,0.3,-14.4,1,4,2011,51000.0
2011-01-05,-0.3,-6.5,1,5,2011,56667.0
2011-01-06,-2.6,-17.1,1,6,2011,58667.0
2011-01-07,-3.2,-18.7,1,7,2011,70334.0
2011-01-10,-2.8,-20.2,1,10,2011,68667.0
2011-01-11,-3.0,-17.0,1,11,2011,67000.0
2011-01-12,-3.9,-17.7,1,12,2011,64000.0
2011-01-13,-1.3,-20.0,1,13,2011,58000.0
2011-01-14,0.5,-15.7,1,14,2011,56667.0
2011-01-17,-4.5,-22.7,1,17,2011,57333.0
2011-01-18,-1.3,-20.8,1,18,2011,57333.0
2011-01-19,-1.6,-19.3,1,19,2011,58000.0
2011-01-20,-2.2,-18.9,1,20,2011,58000.0
2011-01-21,-0.9,-17.0,1,21,2011,60333.0
2011-01-24,-3.6,-9.8,1,24,2011,64000.0
2011-01-25,-3.2,-19.1,1,25,2011,68000.0
2011-01-26,-3.0,-20.2,1,26,2011,67000.0
2011-01-27,-3.1,-20.6,1,27,2011,67000.0
2011-01-28,-0.9,-14.7,1,28,2011,68334.0
2011-01-31,0.7,-21.2,1,31,2011,68334.0
2011-02-01,6.0,-13.9,2,1,2011,69667.0
2011-02-07,4.0,-6.5,2,7,2011,51334.0
2011-02-08,8.0,-5.6,2,8,2011,50000.0
2011-02-09,4.2,-6.7,2,9,2011,48334.0
2011-02-10,3.5,-8.1,2,10,2011,58667.0
2011-02-11,4.9,-8.8,2,11,2011,62333.0
2011-02-14,0.1,-9.6,2,14,2011,62333.0
2011-02-15,4.3,-9.6,2,15,2011,61333.0
2011-02-16,5.5,-11.6,2,16,2011,62000.0
2011-02-17,7.0,-4.2,2,17,2011,65333.0
2011-02-18,8.3,-8.1,2,18,2011,64667.0
2011-02-21,12.9,-6.3,2,21,2011,63333.0
2011-02-22,14.5,-6.9,2,22,2011,62667.0
2011-02-23,13.4,-5.8,2,23,2011,62667.0
2011-02-24,12.1,-5.0,2,24,2011,63667.0
2011-02-25,9.3,-4.4,2,25,2011,65667.0
2011-02-28,4.9,0.5,2,28,2011,64333.0
2011-03-02,2.1,-5.9,3,2,2011,65000.0
2011-03-03,3.5,-8.7,3,3,2011,66000.0
2011-03-04,6.6,-7.9,3,4,2011,68000.0
2011-03-07,6.9,-4.3,3,7,2011,68667.0
2011-03-08,6.9,-6.5,3,8,2011,67334.0
2011-03-09,5.4,-6.7,3,9,2011,65667.0
2011-03-10,6.3,-7.5,3,10,2011,63667.0
2011-03-11,10.0,-5.7,3,11,2011,63000.0
2011-03-14,12.4,2.6,3,14,2011,61334.0
2011-03-15,7.8,-1.9,3,15,2011,61334.0
2011-03-16,4.5,-5.1,3,16,2011,61334.0
2011-03-17,8.5,-7.7,3,17,2011,61334.0
2011-03-18,12.8,-6.2,3,18,2011,61334.0
2011-03-21,14.3,1.4,3,21,2011,60334.0
2011-03-22,14.3,-2.7,3,22,2011,55000.0
2011-03-23,8.3,-7.2,3,23,2011,55000.0
2011-03-24,9.1,-4.2,3,24,2011,55000.0
2011-03-25,9.1,-4.2,3,25,2011,55000.0
2011-03-28,8.3,-1.0,3,28,2011,55000.0
2011-03-29,8.8,-1.6,3,29,2011,55000.0
2011-03-30,15.4,-4.2,3,30,2011,52000.0
2011-03-31,19.0,-2.7,3,31,2011,51333.0
2011-04-01,17.8,-2.9,4,1,2011,51333.0
2011-04-04,17.2,-1.6,4,4,2011,50667.0
2011-04-05,19.4,-1.6,4,5,2011,48667.0
2011-04-06,18.0,-3.0,4,6,2011,48334.0
2011-04-07,11.3,7.2,4,7,2011,47667.0
2011-04-08,17.9,3.8,4,8,2011,47667.0
2011-04-11,16.3,1.1,4,11,2011,46667.0
2011-04-12,19.1,-2.7,4,12,2011,49334.0
2011-04-13,20.0,-2.1,4,13,2011,45000.0
2011-04-14,21.5,0.1,4,14,2011,44000.0
2011-04-15,20.8,7.3,4,15,2011,42333.0
2011-04-18,11.4,0.4,4,18,2011,38000.0
2011-04-19,16.1,-0.5,4,19,2011,37000.0
2011-04-20,18.2,0.2,4,20,2011,37000.0
2011-04-21,19.1,2.8,4,21,2011,37000.0
2011-04-22,11.6,6.2,4,22,2011,37000.0
2011-04-25,18.1,1.5,4,25,2011,37000.0
2011-04-26,12.2,8.0,4,26,2011,38333.0
2011-04-27,11.0,7.4,4,27,2011,39333.0
2011-04-28,14.8,4.7,4,28,2011,41000.0
2011-04-29,16.5,1.2,4,29,2011,45667.0
2011-05-02,22.3,6.7,5,2,2011,44334.0
2011-05-03,21.8,7.4,5,3,2011,43667.0
2011-05-04,22.0,5.3,5,4,2011,41334.0
