날짜,최고기온,최저기온,월,일,연도,가격
2011-01-03,0.6,-19.0,1,3,2011,3920.0
2011-01-04,-1.5,-19.4,1,4,2011,3840.0
2011-01-05,-2.9,-12.2,1,5,2011,3960.0
2011-01-06,-5.8,-20.2,1,6,2011,4000.0
2011-01-07,-5.2,-22.4,1,7,2011,4000.0
2011-01-10,-6.2,-23.2,1,10,2011,3920.0
2011-01-11,-4.5,-19.6,1,11,2011,4120.0
2011-01-12,-6.3,-17.0,1,12,2011,4200.0
2011-01-13,-3.2,-22.9,1,13,2011,4240.0
2011-01-14,-1.6,-12.9,1,14,2011,4240.0
2011-01-17,-6.7,-25.5,1,17,2011,4440.0
2011-01-18,-4.4,-23.3,1,18,2011,4480.0
2011-01-19,-4.3,-21.3,1,19,2011,4480.0
2011-01-20,-6.2,-18.8,1,20,2011,4480.0
2011-01-21,-3.1,-20.0,1,21,2011,4400.0
2011-01-24,-6.3,-22.1,1,24,2011,4840.0
2011-01-25,-6.1,-25.1,1,25,2011,4920.0
2011-01-26,-5.7,-25.1,1,26,2011,4920.0
2011-01-27,-6.1,-25.7,1,27,2011,4720.0
2011-01-28,-4.5,-18.4,1,28,2011,4880.0
2011-01-31,-1.8,-24.0,1,31,2011,4880.0
2011-02-01,3.3,-13.5,2,1,2011,4880.0
2011-02-07,2.3,-7.7,2,7,2011,5000.0
2011-02-08,6.4,-6.0,2,8,2011,5080.0
2011-02-09,1.4,-5.6,2,9,2011,5640.0
2011-02-10,2.4,-9.8,2,10,2011,5640.0
2011-02-11,2.4,-11.0,2,11,2011,5480.0
2011-02-14,0.0,0.0,2,14,2011,5400.0
2011-02-15,-8.7,-13.5,2,15,2011,5840.0
2011-02-16,0.0,0.0,2,16,2011,6040.0
2011-02-17,0.0,0.0,2,17,2011,6040.0
2011-02-18,0.0,0.0,2,18,2011,6040.0
2011-02-21,0.0,0.0,2,21,2011,6160.0
2011-02-22,13.3,-7.3,2,22,2011,6080.0
2011-02-23,12.4,-6.0,2,23,2011,6560.0
2011-02-24,10.1,-6.3,2,24,2011,6760.0
2011-02-25,0.0,0.0,2,25,2011,6840.0
2011-02-28,0.0,0.0,2,28,2011,6960.0
2011-03-02,-0.2,-6.8,3,2,2011,6600.0
2011-03-03,1.1,-10.7,3,3,2011,6520.0
2011-03-04,0.0,0.0,3,4,2011,6440.0
2011-03-07,0.0,0.0,3,7,2011,6160.0
2011-03-08,5.2,-6.3,3,8,2011,5920.0
2011-03-09,0.0,0.0,3,9,2011,5360.0
2011-03-10,-2.1,-8.1,3,10,2011,5160.0
2011-03-11,0.0,0.0,3,11,2011,5160.0
2011-03-14,0.0,0.0,3,14,2011,4880.0
2011-03-15,0.0,0.0,3,15,2011,4800.0
2011-03-16,3.2,-5.7,3,16,2011,4440.0
2011-03-17,0.0,0.0,3,17,2011,4400.0
2011-03-18,0.0,0.0,3,18,2011,4400.0
2011-03-21,12.6,0.3,3,21,2011,4400.0
2011-03-22,5.9,-2.2,3,22,2011,4400.0
2011-03-23,-0.2,-8.0,3,23,2011,4400.0
2011-03-24,7.6,-4.0,3,24,2011,4400.0
2011-03-25,0.0,0.0,3,25,2011,4520.0
2011-03-28,5.4,0.2,3,28,2011,4480.0
2011-03-29,0.0,0.0,3,29,2011,4480.0
2011-03-30,14.2,-3.4,3,30,2011,4360.0
2011-03-31,17.0,-2.8,3,31,2011,4360.0
2011-04-01,0.0,0.0,4,1,2011,4360.0
2011-04-04,0.0,0.0,4,4,2011,4360.0
2011-04-05,17.9,-2.5,4,5,2011,4920.0
2011-04-06,0.0,0.0,4,6,2011,5040.0
2011-04-07,9.8,5.5,4,7,2011,5480.0
2011-04-08,17.3,2.4,4,8,2011,5480.0
2011-04-11,0.0,0.0,4,11,2011,5280.0
2011-04-12,17.5,-2.8,4,12,2011,5400.0
2011-04-13,19.2,-1.6,4,13,2011,5400.0
2011-04-14,19.5,1.0,4,14,2011,5200.0
2011-04-15,0.0,0.0,4,15,2011,5000.0
2011-04-18,8.7,3.8,4,18,2011,5000.0
2011-04-19,15.4,2.6,4,19,2011,5080.0
2011-04-20,15.6,1.9,4,20,2011,5160.0
2011-04-21,16.7,3.5,4,21,2011,5160.0
2011-04-22,0.0,0.0,4,22,2011,5040.0
2011-04-25,16.0,4.9,4,25,2011,4720.0
2011-04-26,10.9,7.5,4,26,2011,4720.0
2011-04-27,0.0,0.0,4,27,2011,4440.0
2011-04-28,14.3,4.1,4,28,2011,4440.0
2011-04-29,14.5,3.4,4,29,2011,4520.0
2011-05-02,20.3,7.5,5,2,2011,4320.0
2011-05-03,19.5,7.9,5,3,2011,4120.0
2011-05-04,20.6,6.4,5,4,2011,3920.0
2011-05-06,14.4,9.3,5,6,2011,3800.0
2011-05-09,0.0,0.0,5,9,2011,3600.0
2011-05-11,20.0,13.8,5,11,2011,3520.0
2011-05-12,0.0,0.0,5,12,2011,3520.0
2011-05-13,0.0,0.0,5,13,2011,3440.0
2011-05-16,0.0,0.0,5,16,2011,3240.0
2011-05-17,0.0,0.0,5,17,2011,3240.0
2011-05-18,0.0,0.0,5,18,2011,2960.0
2011-05-19,0.0,0.0,5,19,2011,2920.0
2011-05-20,0.0,0.0,5,20,2011,3080.0
2011-05-23,25.5,12.0,5,23,2011,2960.0
2011-05-24,28.2,10.5,5,24,2011,2960.0
2011-05-25,29.7,12.9,5,25,2011,2960.0
2011-05-26,24.3,15.8,5,26,2011,2960.0
2011-05-27,25.0,12.7,5,27,2011,3040.0
2011-05-30,26.2,15.0,5,30,2011,3040.0
2011-05-31,22.2,14.4,5,31,2011,3120.0
2011-06-01,20.0,14.3,6,1,2011,3120.0
